OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ShapeSTArea,ShapeSTLength
49,Copley Square Park,City of Boston,A97,1,Back Bay/Beacon Hill,1.854288,St. James Ave.,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD, ,X,X,80774.23096,1400.216411
50,Prudential Center Plaza I,Private, ,1,Back Bay/Beacon Hill,1.062659, ,Special District,"Malls, Squares & Plazas",NULL, ,N,X,46290.25366,901.77714
51,Clarendon Street Totlot,City of Boston,A97,3,Back Bay/Beacon Hill,0.332354, ,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,14108.8999,475.648939
52,Somerset Street Plaza,Commonwealth of Massachusetts, ,1,Back Bay/Beacon Hill,0.9303, ,Special District,"Malls, Squares & Plazas",NULL, ,N,X,29558.61182,854.777697
53,DeFilippo Playground,City of Boston,A97,3,Central Boston,1.115556,135 Prince Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,48701.71021,969.026372
54,Copp's Hill Burying Ground,City of Boston,A97/NRHP/PR,4,Central Boston,1.981417,Opposite 34 Hull Str.,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,X,86312.04419,1311.859349
55,Copp's Hill Terrace,City of Boston,A97/NRHP,1,Central Boston,0.611988,536 Commericial Str.,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X,26658.69043,682.857457
56,Foster Street Play Area,City of Boston,A97,3,Central Boston,0.105036, ,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,4686.069092,298.407257
57,Charter Street Park,City of Boston,A97,3,Central Boston,0.23534,Opposite 26 Charter Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,10397.58228,495.821154
58,Paul Revere Mall,City of Boston,A97,1,Central Boston,0.785207,Opposite 415 Hanover Str.,Open Space District,"Malls, Squares & Plazas",BPRD, ,X,X,34204.24487,1027.832218
